WISE Name,Catalog,GLong,GLat,RA,Dec,Radius,HII Region,Membership,VLSR,VLSR (Mol.),Molecule,KDAR,Dist.,Err Dist.,Dist. Method,RGal,z
G299.013+00.129,K,299.013,0.130,184.353,-62.483,64,G299.016+00.148,,23.0,,,F,10.6,01.1,OG/Kin,09.8,0023
G299.043+00.186,K,299.043,0.186,184.433,-62.430,292,G299.016+00.148,,23.0,,,F,10.6,01.1,OG/Kin,09.8,0034
G299.153+00.008,C,299.153,0.009,184.620,-62.621,58,,,,1.9,CS,F,08.7,01.0,OG (Mol)/Kin,08.7,0001
G299.290-00.289,Q,299.290,-0.288,184.835,-62.933,179,,G299.363-00.257,,,,,,,,,
G299.326-00.311,Q,299.326,-0.310,184.908,-62.959,54,,G299.363-00.257,,,,,,,,,
G299.336-00.329,Q,299.336,-0.328,184.925,-62.978,25,,G299.363-00.257,,,,,,,,,
G299.349-00.267,K,299.349,-0.266,184.970,-62.918,140,G299.363-00.257; RCW64,,-37.0,,,T,04.2,00.1,TP/Kin,07.4,-019
G299.384+01.064,Q,299.384,1.064,185.385,-61.601,215,,,,,,,,,,,
G299.399-00.235,G,299.399,-0.234,185.087,-62.893,102,,G299.363-00.257,,,,,,,,,
G299.402+01.111,Q,299.402,1.111,185.433,-61.557,36,,,,,,,,,,,
G299.429+01.081,Q,299.429,1.082,185.483,-61.589,33,,,,,,,,,,,
G299.439-00.039,Q,299.439,-0.038,185.225,-62.703,31,,,,,,,,,,,
G299.451-01.096,?,299.451,-1.096,184.969,-63.754,71,,,,,,,,,,,
G299.474-01.101,?,299.474,-1.100,185.020,-63.761,78,,,,,,,,,,,
G299.505+00.025,C,299.505,0.025,185.384,-62.648,119,,,,,,,,,,,
G299.606+00.177,Q,299.606,0.177,185.641,-62.508,27,,,,,,,,,,,
G299.674-00.601,Q,299.675,-0.600,185.598,-63.288,57,,,,,,,,,,,
G299.688-00.593,Q,299.688,-0.592,185.629,-63.282,149,,,,,,,,,,,
G299.703+00.015,C,299.703,0.015,185.810,-62.680,223,,,,,,,,,,,
G299.773-00.286,Q,299.773,-0.286,185.891,-62.986,96,,,,,,,,,,,
G299.922+00.006,Q,299.922,0.007,186.283,-62.711,72,,,,,,,,,,,
G300.084-00.485,C,300.084,-0.485,186.529,-63.217,1199,,,,,,,,,,,
G300.134-00.100,C,300.134,-0.100,186.721,-62.838,383,,,,,,,,,,,
G300.238-00.758,Q,300.238,-0.758,186.813,-63.503,54,,,,,,,,,,,
